flight_id,asset_id,tail_number,flight_date,phase,egt_c,egt_margin_c,n1_pct,n2_pct,oil_pressure_psi,oil_temp_c,vibration_n1_ips,vibration_n2_ips,fuel_flow_pph
N67890-2026-01-04-01,ENG-003,N67890,2026-01-04,cruise,850.6,53.0,89.9,93.2,55.0,87.9,0.8,1.0,2681.3
N67890-2026-01-04-01,ENG-004,N67890,2026-01-04,cruise,845.2,51.8,89.1,93.5,57.2,86.5,0.8,1.3,2657.6
N12345-2026-01-05-01,ENG-001,N12345,2026-01-05,cruise,894.2,55.2,90.6,97.0,58.9,89.6,1.0,1.0,2467.0
N12345-2026-01-05-01,ENG-002,N12345,2026-01-05,cruise,897.5,51.8,90.4,95.1,59.8,87.4,1.1,1.3,2428.5
N67890-2026-01-05-01,ENG-003,N67890,2026-01-05,cruise,848.0,47.1,89.9,94.1,51.4,87.8,1.3,1.1,2686.9
N67890-2026-01-05-01,ENG-004,N67890,2026-01-05,cruise,849.7,51.4,88.8,93.9,56.4,88.0,1.3,1.1,2618.3
N12345-2026-01-06-01,ENG-001,N12345,2026-01-06,cruise,894.7,55.0,91.7,95.5,56.1,89.7,1.0,1.1,2470.0
N12345-2026-01-06-01,ENG-002,N12345,2026-01-06,cruise,892.5,56.9,91.1,95.1,62.0,91.0,1.2,1.4,2521.8
N67890-2026-01-06-01,ENG-003,N67890,2026-01-06,cruise,849.5,49.2,88.1,93.8,51.0,90.9,1.0,1.1,2684.1
N67890-2026-01-06-01,ENG-004,N67890,2026-01-06,cruise,848.2,55.7,90.0,94.1,56.3,84.9,0.9,1.6,2639.5
N12345-2026-01-07-01,ENG-001,N12345,2026-01-07,cruise,895.3,54.8,91.5,95.1,58.5,90.0,1.2,1.0,2555.3
N12345-2026-01-07-01,ENG-002,N12345,2026-01-07,cruise,898.8,54.8,91.4,95.5,56.7,91.3,0.7,1.2,2494.3
N67890-2026-01-07-01,ENG-003,N67890,2026-01-07,cruise,849.3,53.5,88.4,94.4,52.5,86.4,1.0,1.1,2670.6
N67890-2026-01-07-01,ENG-004,N67890,2026-01-07,cruise,849.2,54.0,88.1,93.9,58.0,90.0,0.7,1.1,2601.8
N12345-2026-01-08-01,ENG-001,N12345,2026-01-08,cruise,896.3,54.6,91.8,96.8,57.2,87.9,1.2,1.3,2513.4
N12345-2026-01-08-01,ENG-002,N12345,2026-01-08,cruise,892.4,50.1,91.6,95.6,60.0,91.6,0.7,0.9,2432.8
N67890-2026-01-08-01,ENG-003,N67890,2026-01-08,cruise,852.0,51.7,88.4,94.3,53.3,86.6,1.1,1.1,2698.6
N67890-2026-01-08-01,ENG-004,N67890,2026-01-08,cruise,844.4,51.4,88.6,93.0,56.6,87.8,0.9,1.4,2636.2
N12345-2026-01-09-01,ENG-001,N12345,2026-01-09,cruise,895.4,54.5,90.0,95.2,60.3,92.4,1.0,1.4,2509.9
N12345-2026-01-09-01,ENG-002,N12345,2026-01-09,cruise,898.1,52.5,91.8,96.6,61.2,91.4,0.7,0.9,2432.3
N67890-2026-01-09-01,ENG-003,N67890,2026-01-09,cruise,846.7,51.0,88.3,94.9,54.7,90.2,1.4,1.1,2687.3
N67890-2026-01-09-01,ENG-004,N67890,2026-01-09,cruise,843.9,53.9,88.7,94.9,56.8,89.2,1.2,1.2,2664.5
N12345-2026-01-10-01,ENG-001,N12345,2026-01-10,cruise,894.9,54.3,91.7,96.7,56.3,91.9,1.0,1.1,2535.4
N12345-2026-01-10-01,ENG-002,N12345,2026-01-10,cruise,897.2,51.5,90.7,96.7,61.8,87.7,1.0,1.0,2537.7
N67890-2026-01-10-01,ENG-003,N67890,2026-01-10,cruise,845.7,53.8,88.4,94.9,53.2,86.6,0.9,1.1,2642.1
N67890-2026-01-10-01,ENG-004,N67890,2026-01-10,cruise,845.8,52.8,89.0,93.8,55.5,85.5,1.1,1.0,2681.1
N12345-2026-01-11-01,ENG-001,N12345,2026-01-11,cruise,896.0,54.1,91.4,96.5,59.0,89.2,0.7,1.3,2479.6
N12345-2026-01-11-01,ENG-002,N12345,2026-01-11,cruise,898.2,55.8,90.6,95.6,58.5,88.4,0.8,0.9,2470.5
N67890-2026-01-11-01,ENG-003,N67890,2026-01-11,cruise,849.4,50.9,88.6,94.1,55.6,85.0,1.0,1.2,2641.6
N67890-2026-01-11-01,ENG-004,N67890,2026-01-11,cruise,847.7,51.7,88.9,93.4,54.8,89.4,1.2,1.1,2580.2
N12345-2026-01-12-01,ENG-001,N12345,2026-01-12,cruise,896.1,53.9,91.3,95.7,59.9,91.5,1.1,1.0,2463.9
N12345-2026-01-12-01,ENG-002,N12345,2026-01-12,cruise,899.3,53.8,91.7,95.1,58.5,89.8,0.7,1.2,2479.3
N67890-2026-01-12-01,ENG-003,N67890,2026-01-12,cruise,847.8,52.0,89.5,93.2,51.5,87.6,0.9,1.2,2705.0
N67890-2026-01-12-01,ENG-004,N67890,2026-01-12,cruise,847.0,50.0,89.7,93.9,56.8,88.0,1.3,1.4,2684.0
N12345-2026-01-13-01,ENG-001,N12345,2026-01-13,cruise,897.1,53.7,91.2,96.4,58.0,92.0,1.0,1.4,2529.2
N12345-2026-01-13-01,ENG-002,N12345,2026-01-13,cruise,895.7,52.0,91.3,96.5,59.1,89.8,0.8,0.8,2454.3
N67890-2026-01-13-01,ENG-003,N67890,2026-01-13,cruise,851.5,47.1,88.5,94.4,51.6,89.2,0.8,1.2,2638.9
N67890-2026-01-13-01,ENG-004,N67890,2026-01-13,cruise,847.5,49.7,88.8,94.8,55.5,88.2,1.2,1.5,2615.6
N12345-2026-01-14-01,ENG-001,N12345,2026-01-14,cruise,895.5,53.5,90.7,96.5,60.1,92.7,1.0,1.3,2505.5
N12345-2026-01-14-01,ENG-002,N12345,2026-01-14,cruise,894.6,51.8,90.9,95.1,58.0,90.1,0.8,0.9,2476.1
N67890-2026-01-14-01,ENG-003,N67890,2026-01-14,cruise,848.1,49.2,89.1,93.1,50.8,88.9,0.9,1.2,2645.4
N67890-2026-01-14-01,ENG-004,N67890,2026-01-14,cruise,851.4,49.7,88.7,94.5,54.3,88.5,1.2,1.2,2579.8
N12345-2026-01-15-01,ENG-001,N12345,2026-01-15,cruise,895.7,53.3,91.1,97.0,57.1,90.9,1.2,1.3,2530.5
N12345-2026-01-15-01,ENG-002,N12345,2026-01-15,cruise,891.8,50.2,90.3,95.3,60.0,89.4,0.7,1.2,2512.0
N67890-2026-01-15-01,ENG-003,N67890,2026-01-15,cruise,849.6,46.9,89.6,94.9,51.0,85.6,0.8,1.2,2627.4
N67890-2026-01-15-01,ENG-004,N67890,2026-01-15,cruise,847.5,51.2,89.4,93.2,56.1,87.8,0.8,1.5,2672.0
N12345-2026-01-16-01,ENG-001,N12345,2026-01-16,cruise,897.1,53.1,90.2,97.0,59.7,89.1,1.0,1.1,2500.7
N12345-2026-01-16-01,ENG-002,N12345,2026-01-16,cruise,898.0,56.6,90.2,96.9,59.8,91.0,1.0,1.1,2508.1
N67890-2026-01-16-01,ENG-003,N67890,2026-01-16,cruise,852.4,50.3,89.0,93.9,55.8,89.4,1.0,1.2,2692.2
N67890-2026-01-16-01,ENG-004,N67890,2026-01-16,cruise,844.6,55.1,88.5,93.9,55.7,86.3,0.7,1.5,2591.8
N12345-2026-01-17-01,ENG-001,N12345,2026-01-17,cruise,896.5,52.9,91.6,95.7,60.3,91.2,0.9,0.9,2553.8
N12345-2026-01-17-01,ENG-002,N12345,2026-01-17,cruise,899.7,53.9,91.5,96.4,59.9,88.9,1.1,0.9,2446.6
N67890-2026-01-17-01,ENG-003,N67890,2026-01-17,cruise,851.8,49.8,89.1,93.9,54.2,89.5,1.0,1.2,2674.3
N67890-2026-01-17-01,ENG-004,N67890,2026-01-17,cruise,849.3,49.0,88.4,93.2,55.2,88.6,0.8,1.1,2628.1
N12345-2026-01-18-01,ENG-001,N12345,2026-01-18,cruise,897.7,52.7,92.0,96.0,56.7,87.6,0.8,1.0,2461.5
N12345-2026-01-18-01,ENG-002,N12345,2026-01-18,cruise,900.0,52.2,91.9,96.1,60.2,86.8,1.1,1.1,2524.7
N67890-2026-01-18-01,ENG-003,N67890,2026-01-18,cruise,850.1,47.5,88.1,94.9,53.4,87.9,1.3,1.3,2638.1
N67890-2026-01-18-01,ENG-004,N67890,2026-01-18,cruise,851.7,48.4,88.3,94.1,53.8,90.0,0.8,1.5,2642.8
N12345-2026-01-19-01,ENG-001,N12345,2026-01-19,cruise,898.1,52.5,90.5,96.0,57.7,89.7,1.2,1.5,2476.6
N12345-2026-01-19-01,ENG-002,N12345,2026-01-19,cruise,895.2,55.9,91.9,95.4,57.3,90.0,0.7,0.9,2429.0
N67890-2026-01-19-01,ENG-003,N67890,2026-01-19,cruise,850.6,48.3,88.5,94.4,50.0,89.2,1.1,1.3,2672.5
N67890-2026-01-19-01,ENG-004,N67890,2026-01-19,cruise,845.2,53.0,89.3,94.9,54.6,87.3,1.1,1.5,2669.2
N12345-2026-01-20-01,ENG-001,N12345,2026-01-20,cruise,896.8,52.3,90.3,95.6,59.5,90.4,0.9,1.0,2522.6
N12345-2026-01-20-01,ENG-002,N12345,2026-01-20,cruise,895.3,54.0,91.0,95.2,56.2,88.6,0.8,1.0,2431.0
N67890-2026-01-20-01,ENG-003,N67890,2026-01-20,cruise,847.5,53.6,90.0,94.3,55.8,86.6,0.8,1.3,2680.8
N67890-2026-01-20-01,ENG-004,N67890,2026-01-20,cruise,848.5,55.3,88.4,94.2,55.8,87.0,0.8,1.2,2610.0
N12345-2026-01-21-01,ENG-001,N12345,2026-01-21,cruise,898.2,52.1,91.7,95.7,59.2,88.7,1.3,1.4,2506.0
N12345-2026-01-21-01,ENG-002,N12345,2026-01-21,cruise,896.0,52.6,91.9,95.8,59.1,91.9,1.0,1.1,2469.6
N67890-2026-01-21-01,ENG-003,N67890,2026-01-21,cruise,851.6,51.0,89.5,93.4,51.1,88.3,1.4,1.3,2642.6
N67890-2026-01-21-01,ENG-004,N67890,2026-01-21,cruise,845.6,55.8,89.2,93.5,53.0,87.3,1.0,1.1,2689.1
N12345-2026-01-22-01,ENG-001,N12345,2026-01-22,cruise,898.9,51.9,90.9,95.2,60.0,90.0,1.1,1.2,2472.8
N12345-2026-01-22-01,ENG-002,N12345,2026-01-22,cruise,894.3,51.9,91.1,95.8,61.5,89.0,1.1,1.3,2453.1
N67890-2026-01-22-01,ENG-003,N67890,2026-01-22,cruise,851.6,50.1,89.6,93.6,54.7,86.8,1.2,1.3,2709.9
N67890-2026-01-22-01,ENG-004,N67890,2026-01-22,cruise,847.4,52.3,88.7,94.1,55.3,86.7,0.9,1.1,2653.7
N12345-2026-01-23-01,ENG-001,N12345,2026-01-23,cruise,898.4,51.7,90.5,96.6,55.3,91.5,1.1,1.4,2486.3
N12345-2026-01-23-01,ENG-002,N12345,2026-01-23,cruise,895.3,57.8,91.0,95.1,59.0,89.5,1.1,1.3,2472.8
N67890-2026-01-23-01,ENG-003,N67890,2026-01-23,cruise,850.7,49.3,89.3,93.3,53.2,87.8,1.4,1.3,2630.6
N67890-2026-01-23-01,ENG-004,N67890,2026-01-23,cruise,846.8,54.8,89.7,94.7,54.3,85.9,1.1,1.5,2674.7
N12345-2026-01-24-01,ENG-001,N12345,2026-01-24,cruise,897.6,51.5,90.1,96.3,60.5,93.0,1.1,1.2,2451.8
N12345-2026-01-24-01,ENG-002,N12345,2026-01-24,cruise,895.6,53.5,91.4,96.8,56.3,90.8,0.8,1.0,2437.5
N67890-2026-01-24-01,ENG-003,N67890,2026-01-24,cruise,850.1,47.4,88.2,94.7,53.2,88.7,0.9,1.4,2699.5
N67890-2026-01-24-01,ENG-004,N67890,2026-01-24,cruise,850.8,50.0,88.5,93.0,56.8,89.4,1.1,1.1,2623.0
N12345-2026-01-25-01,ENG-001,N12345,2026-01-25,cruise,898.3,51.4,91.2,96.3,57.5,88.5,1.2,1.0,2486.2
N12345-2026-01-25-01,ENG-002,N12345,2026-01-25,cruise,895.6,54.6,91.1,97.0,57.8,91.9,1.0,1.0,2487.9
N67890-2026-01-25-01,ENG-003,N67890,2026-01-25,cruise,847.1,50.9,89.0,94.8,54.1,86.7,1.3,1.4,2662.8
N67890-2026-01-25-01,ENG-004,N67890,2026-01-25,cruise,849.5,53.0,89.4,94.4,56.0,89.0,1.1,1.5,2647.6
N12345-2026-01-26-01,ENG-001,N12345,2026-01-26,cruise,898.4,51.2,90.9,96.2,59.4,87.5,0.9,1.3,2461.1
N12345-2026-01-26-01,ENG-002,N12345,2026-01-26,cruise,899.0,57.8,91.1,96.8,61.0,87.5,1.1,1.1,2516.8
N67890-2026-01-26-01,ENG-003,N67890,2026-01-26,cruise,850.5,53.7,88.3,94.9,54.5,90.2,1.2,1.4,2707.6
N67890-2026-01-26-01,ENG-004,N67890,2026-01-26,cruise,844.9,50.9,89.6,93.0,55.2,86.7,1.1,1.4,2640.1
N12345-2026-01-27-01,ENG-001,N12345,2026-01-27,cruise,899.6,51.0,91.9,95.2,56.4,87.2,1.2,1.2,2549.8
N12345-2026-01-27-01,ENG-002,N12345,2026-01-27,cruise,897.3,56.6,91.8,95.6,58.4,86.8,1.2,1.0,2479.1
N67890-2026-01-27-01,ENG-003,N67890,2026-01-27,cruise,846.2,49.6,89.3,94.5,50.6,90.7,1.1,1.4,2679.1
N67890-2026-01-27-01,ENG-004,N67890,2026-01-27,cruise,850.6,48.8,89.0,93.8,57.7,84.2,0.9,1.3,2684.1
N12345-2026-01-28-01,ENG-001,N12345,2026-01-28,cruise,899.9,50.8,90.2,96.4,58.3,92.9,0.9,1.1,2462.8
N12345-2026-01-28-01,ENG-002,N12345,2026-01-28,cruise,899.7,53.6,91.3,96.3,59.6,86.1,1.1,0.9,2435.1
N67890-2026-01-28-01,ENG-003,N67890,2026-01-28,cruise,854.0,47.7,88.4,94.7,53.4,87.0,0.9,1.4,2698.1
N67890-2026-01-28-01,ENG-004,N67890,2026-01-28,cruise,852.7,49.2,88.3,93.5,53.0,88.0,0.7,1.0,2664.8
N12345-2026-01-29-01,ENG-001,N12345,2026-01-29,cruise,898.9,50.6,90.6,95.3,55.3,91.5,1.0,1.3,2497.1
N12345-2026-01-29-01,ENG-002,N12345,2026-01-29,cruise,893.8,50.9,91.0,96.9,56.3,90.7,1.1,1.1,2475.0
N67890-2026-01-29-01,ENG-003,N67890,2026-01-29,cruise,853.5,49.2,89.4,94.0,55.8,90.5,0.8,1.4,2599.7
N67890-2026-01-29-01,ENG-004,N67890,2026-01-29,cruise,846.2,50.2,89.3,94.1,54.0,90.0,1.0,1.3,2642.7
N12345-2026-01-30-01,ENG-001,N12345,2026-01-30,cruise,898.8,50.4,91.4,96.7,58.9,91.6,1.1,1.0,2494.2
N12345-2026-01-30-01,ENG-002,N12345,2026-01-30,cruise,897.9,53.6,90.8,95.2,58.6,90.0,0.8,0.9,2530.8
N67890-2026-01-30-01,ENG-003,N67890,2026-01-30,cruise,846.5,46.8,89.5,94.6,50.4,88.3,1.2,1.4,2657.4
N67890-2026-01-30-01,ENG-004,N67890,2026-01-30,cruise,848.6,50.8,89.3,94.5,57.2,88.3,1.3,1.4,2612.2
N12345-2026-01-31-01,ENG-001,N12345,2026-01-31,cruise,900.0,50.2,90.4,96.3,56.3,87.6,1.2,1.1,2531.5
N12345-2026-01-31-01,ENG-002,N12345,2026-01-31,cruise,896.0,56.8,91.9,96.6,59.7,89.9,0.6,1.4,2519.5
N67890-2026-01-31-01,ENG-003,N67890,2026-01-31,cruise,853.0,48.5,88.7,93.0,51.6,90.2,1.1,1.5,2638.1
N67890-2026-01-31-01,ENG-004,N67890,2026-01-31,cruise,851.2,48.2,89.5,93.4,54.5,86.0,0.9,1.4,2663.2
N12345-2026-02-01-01,ENG-001,N12345,2026-02-01,cruise,900.1,50.0,90.2,95.1,55.9,90.7,1.1,1.1,2519.4
N12345-2026-02-01-01,ENG-002,N12345,2026-02-01,cruise,896.0,52.2,91.5,95.2,58.6,87.7,1.0,1.1,2500.1
N67890-2026-02-01-01,ENG-003,N67890,2026-02-01,cruise,851.0,46.1,88.6,93.4,50.3,85.8,1.0,1.5,2629.4
N67890-2026-02-01-01,ENG-004,N67890,2026-02-01,cruise,852.4,49.4,88.8,94.4,55.0,89.0,1.2,1.0,2673.4
N12345-2026-02-02-01,ENG-001,N12345,2026-02-02,cruise,899.4,49.7,90.0,96.8,60.2,90.5,1.0,1.3,2490.1
N12345-2026-02-02-01,ENG-002,N12345,2026-02-02,cruise,898.1,52.6,91.6,96.2,61.0,91.5,0.7,1.3,2449.2
N67890-2026-02-02-01,ENG-003,N67890,2026-02-02,cruise,849.6,48.5,88.7,93.7,53.5,86.0,1.1,1.5,2603.7
N67890-2026-02-02-01,ENG-004,N67890,2026-02-02,cruise,848.7,50.8,89.5,94.6,56.9,85.4,0.8,1.1,2642.3
N12345-2026-02-03-01,ENG-001,N12345,2026-02-03,cruise,901.1,49.4,91.3,95.4,59.6,90.0,1.2,1.4,2493.9
N12345-2026-02-03-01,ENG-002,N12345,2026-02-03,cruise,892.7,55.1,91.2,96.7,59.8,86.9,0.6,1.1,2456.3
N67890-2026-02-03-01,ENG-003,N67890,2026-02-03,cruise,853.6,48.5,88.9,93.1,51.6,90.0,0.8,1.5,2693.7
N67890-2026-02-03-01,ENG-004,N67890,2026-02-03,cruise,845.4,52.1,88.9,94.1,56.8,89.4,1.0,1.5,2648.2
N12345-2026-02-04-01,ENG-001,N12345,2026-02-04,cruise,900.5,49.1,91.0,95.3,55.4,87.6,1.2,1.1,2525.7
N12345-2026-02-04-01,ENG-002,N12345,2026-02-04,cruise,895.3,52.0,90.9,95.9,59.1,87.0,0.8,1.0,2469.1
N67890-2026-02-04-01,ENG-003,N67890,2026-02-04,cruise,849.8,51.2,88.1,93.2,52.0,89.1,1.0,1.5,2676.8
N67890-2026-02-04-01,ENG-004,N67890,2026-02-04,cruise,847.5,55.0,88.7,94.2,52.8,86.1,1.3,1.4,2617.0
N12345-2026-02-05-01,ENG-001,N12345,2026-02-05,cruise,901.3,48.9,91.9,95.6,57.3,91.7,1.2,1.3,2539.5
N12345-2026-02-05-01,ENG-002,N12345,2026-02-05,cruise,894.5,54.2,91.3,95.8,58.2,88.2,0.7,0.9,2533.7
N67890-2026-02-05-01,ENG-003,N67890,2026-02-05,cruise,851.5,46.6,89.7,93.2,52.9,89.6,1.3,1.5,2696.0
N67890-2026-02-05-01,ENG-004,N67890,2026-02-05,cruise,851.4,54.1,88.3,93.8,53.0,89.0,1.2,1.5,2589.9
N12345-2026-02-06-01,ENG-001,N12345,2026-02-06,cruise,901.3,48.6,90.8,96.4,56.4,89.7,0.9,1.3,2493.9
N12345-2026-02-06-01,ENG-002,N12345,2026-02-06,cruise,895.3,56.5,90.9,96.7,58.2,91.7,1.2,1.1,2453.8
N67890-2026-02-06-01,ENG-003,N67890,2026-02-06,cruise,850.7,52.5,89.6,93.3,52.3,86.5,1.2,1.5,2694.9
N67890-2026-02-06-01,ENG-004,N67890,2026-02-06,cruise,846.8,54.8,89.7,93.6,56.6,85.6,1.2,1.1,2622.5
N12345-2026-02-07-01,ENG-001,N12345,2026-02-07,cruise,902.6,48.3,90.4,95.9,57.1,87.2,0.7,1.2,2468.3
N12345-2026-02-07-01,ENG-002,N12345,2026-02-07,cruise,891.7,50.2,91.9,96.7,59.9,90.7,0.7,1.0,2519.6
N67890-2026-02-07-01,ENG-003,N67890,2026-02-07,cruise,853.3,49.6,88.0,93.2,54.2,86.5,1.3,1.6,2655.9
N67890-2026-02-07-01,ENG-004,N67890,2026-02-07,cruise,846.3,48.9,88.6,93.6,52.3,86.5,1.2,1.3,2583.3
N12345-2026-02-08-01,ENG-001,N12345,2026-02-08,cruise,902.8,48.0,91.2,95.0,58.1,88.5,0.8,1.2,2513.8
N12345-2026-02-08-01,ENG-002,N12345,2026-02-08,cruise,897.9,55.3,90.2,96.9,56.4,89.2,0.9,1.4,2486.5
N67890-2026-02-08-01,ENG-003,N67890,2026-02-08,cruise,850.5,53.8,88.5,93.0,52.3,89.7,1.0,1.6,2678.0
N67890-2026-02-08-01,ENG-004,N67890,2026-02-08,cruise,847.5,53.9,88.7,93.1,55.3,88.9,0.8,1.5,2625.8
N12345-2026-02-09-01,ENG-001,N12345,2026-02-09,cruise,902.7,47.7,91.3,96.6,55.4,91.7,1.0,1.1,2445.3
N12345-2026-02-09-01,ENG-002,N12345,2026-02-09,cruise,897.5,57.5,91.0,97.0,59.3,87.5,1.1,0.9,2462.8
N67890-2026-02-09-01,ENG-003,N67890,2026-02-09,cruise,846.8,47.0,88.7,94.8,54.7,89.5,1.3,1.6,2636.4
N67890-2026-02-09-01,ENG-004,N67890,2026-02-09,cruise,844.2,52.0,89.8,94.0,56.8,88.4,0.7,1.4,2668.7
N12345-2026-02-10-01,ENG-001,N12345,2026-02-10,cruise,902.7,47.4,90.6,95.2,59.0,88.8,1.1,1.2,2522.8
N12345-2026-02-10-01,ENG-002,N12345,2026-02-10,cruise,896.3,57.0,90.7,97.0,57.6,91.9,1.2,0.8,2496.5
N67890-2026-02-10-01,ENG-003,N67890,2026-02-10,cruise,848.0,53.6,88.3,94.2,52.2,89.7,0.8,1.6,2598.1
N67890-2026-02-10-01,ENG-004,N67890,2026-02-10,cruise,845.5,51.1,89.1,94.2,56.1,89.7,0.9,1.5,2638.9
N12345-2026-02-11-01,ENG-001,N12345,2026-02-11,cruise,903.0,47.1,90.8,96.3,56.5,87.7,1.1,1.2,2486.4
N12345-2026-02-11-01,ENG-002,N12345,2026-02-11,cruise,895.0,52.1,90.9,97.0,57.7,91.5,0.9,0.9,2522.3
N67890-2026-02-11-01,ENG-003,N67890,2026-02-11,cruise,846.7,46.7,89.4,94.7,52.7,86.9,1.0,1.6,2597.8
N67890-2026-02-11-01,ENG-004,N67890,2026-02-11,cruise,848.5,54.8,89.4,94.9,55.8,88.8,1.0,1.1,2594.1
N12345-2026-02-12-01,ENG-001,N12345,2026-02-12,cruise,902.4,46.9,91.6,95.1,58.3,89.2,1.2,1.2,2513.4
N12345-2026-02-12-01,ENG-002,N12345,2026-02-12,cruise,898.9,58.0,91.4,96.1,60.6,90.9,0.6,1.4,2497.1
N67890-2026-02-12-01,ENG-003,N67890,2026-02-12,cruise,848.3,53.0,89.6,94.3,52.7,86.1,1.4,1.6,2641.9
N67890-2026-02-12-01,ENG-004,N67890,2026-02-12,cruise,843.8,49.0,88.3,93.3,53.9,88.3,0.9,1.6,2677.4
N12345-2026-02-13-01,ENG-001,N12345,2026-02-13,cruise,904.1,46.6,90.5,96.3,58.3,87.8,0.9,1.2,2500.3
N12345-2026-02-13-01,ENG-002,N12345,2026-02-13,cruise,899.6,51.2,91.3,96.4,59.6,91.1,0.9,1.3,2423.4
N67890-2026-02-13-01,ENG-003,N67890,2026-02-13,cruise,849.1,51.2,89.5,93.8,50.3,88.8,1.1,1.7,2665.3
N67890-2026-02-13-01,ENG-004,N67890,2026-02-13,cruise,850.6,51.9,89.6,94.4,53.8,84.4,0.7,1.3,2628.1
N12345-2026-02-14-01,ENG-001,N12345,2026-02-14,cruise,903.1,46.3,91.2,95.6,59.3,91.4,1.2,1.5,2455.7
N12345-2026-02-14-01,ENG-002,N12345,2026-02-14,cruise,897.1,52.6,90.9,95.5,57.5,86.6,0.8,1.0,2493.8
N67890-2026-02-14-01,ENG-003,N67890,2026-02-14,cruise,846.4,48.6,89.2,93.6,51.5,89.6,1.1,1.7,2651.8
N67890-2026-02-14-01,ENG-004,N67890,2026-02-14,cruise,847.6,48.2,89.9,94.0,57.8,85.3,0.9,1.0,2629.4
N12345-2026-02-15-01,ENG-001,N12345,2026-02-15,cruise,904.8,46.0,91.3,95.9,58.2,92.1,1.0,1.4,2527.3
N12345-2026-02-15-01,ENG-002,N12345,2026-02-15,cruise,893.6,53.2,91.1,95.4,59.3,86.4,0.9,1.3,2453.6
N67890-2026-02-15-01,ENG-003,N67890,2026-02-15,cruise,847.8,53.8,88.8,94.6,55.9,87.0,1.4,1.7,2680.6
N67890-2026-02-15-01,ENG-004,N67890,2026-02-15,cruise,850.4,52.0,88.1,93.3,54.0,86.8,1.0,1.4,2631.9
N12345-2026-02-16-01,ENG-001,N12345,2026-02-16,cruise,904.0,45.7,91.2,95.3,60.9,91.4,0.9,1.1,2539.4
N12345-2026-02-16-01,ENG-002,N12345,2026-02-16,cruise,896.1,52.4,91.6,95.7,60.0,91.9,1.0,1.3,2507.0
N67890-2026-02-16-01,ENG-003,N67890,2026-02-16,cruise,853.7,53.7,89.6,94.6,54.1,88.5,1.2,1.7,2660.0
N67890-2026-02-16-01,ENG-004,N67890,2026-02-16,cruise,850.9,53.0,89.7,93.3,56.1,84.2,1.3,1.1,2572.3
N12345-2026-02-17-01,ENG-001,N12345,2026-02-17,cruise,904.2,45.4,90.3,96.4,57.5,91.6,1.3,1.4,2528.3
N12345-2026-02-17-01,ENG-002,N12345,2026-02-17,cruise,898.8,51.7,90.7,96.3,59.2,87.9,0.7,1.3,2461.1
N67890-2026-02-17-01,ENG-003,N67890,2026-02-17,cruise,848.2,51.1,89.4,94.2,52.1,86.2,0.9,1.7,2657.0
N67890-2026-02-17-01,ENG-004,N67890,2026-02-17,cruise,851.1,50.4,88.6,93.4,56.2,85.9,0.9,1.6,2665.4
N12345-2026-02-18-01,ENG-001,N12345,2026-02-18,cruise,904.4,45.1,90.2,96.4,57.3,92.9,1.2,1.5,2536.6
N12345-2026-02-18-01,ENG-002,N12345,2026-02-18,cruise,897.3,55.7,90.7,95.9,57.5,88.9,0.7,1.1,2532.0
